tick,solar-luminosity,global-temperature,population,black-number,white-number
413,0.8,34.51176735540563,477,477,0
414,0.8,34.5282370291911,471,471,0
415,0.8,34.471101403585436,469,469,0
416,0.8,34.430489907143446,462,462,0
417,0.8,34.35771343874332,466,466,0
418,0.8,34.3634797137845,459,459,0
419,0.8,34.30377747199309,465,465,0
420,0.8,34.286937984490905,458,458,0
421,0.8,34.23913311045456,464,464,0
422,0.8,34.24564187958306,464,464,0
423,0.8,34.266636782496406,468,468,0
424,0.8,34.320296961372186,469,469,0
425,0.8,34.323274565535996,470,470,0
426,0.8,34.35814707901014,487,487,0
427,0.8,34.548670435912186,475,475,0
428,0.8,34.51823758784527,476,476,0
429,0.8,34.51903014718171,467,467,0
430,0.8,34.437172568634644,462,462,0
431,0.8,34.3510377453592,451,451,0
432,0.8,34.2023382788234,445,445,0
433,0.8,34.104496625578015,447,447,0
434,0.8,34.03979488195819,449,449,0
435,0.8,34.02926614536159,446,446,0
436,0.8,34.00343923295672,451,451,0
437,0.8,34.038248029552264,447,447,0
438,0.8,34.0023913318742,454,454,0
439,0.8,34.02937065097164,458,458,0
440,0.8,34.15254110047841,469,469,0
441,0.8,34.29219991137696,471,471,0
442,0.8,34.43240501218827,477,477,0
443,0.8,34.570755021465764,485,485,0
444,0.8,34.65107589236684,482,482,0
445,0.8,34.689177370308656,476,476,0
446,0.8,34.62912495967613,490,490,0
447,0.8,34.737073969317635,485,485,0
448,0.8,34.71364940867778,479,479,0
449,0.8,34.64960876512123,481,481,0
450,0.8,34.62932456613324,462,462,0
451,0.8,34.5009969802497,461,461,0
452,0.8,34.41703434371946,468,468,0
453,0.8,34.42018402210263,466,466,0
454,0.8,34.40143639534488,476,476,0
455,0.8,34.444686757352244,472,472,0
456,0.8,34.48311919293747,480,480,0
457,0.8,34.58121365953114,479,479,0
458,0.8,34.59783583631436,479,479,0
459,0.8,34.62771841158303,484,484,0
460,0.8,34.66237333588827,480,480,0
461,0.8,34.61813475850565,487,487,0
462,0.8,34.65991111129429,485,485,0
463,0.8,34.67916728709617,485,485,0
464,0.8,34.64421078352043,477,477,0
465,0.8,34.565663309089615,478,478,0
466,0.8,34.542805336111144,483,483,0
467,0.8,34.59687805442624,485,485,0
468,0.8,34.566966176472604,493,493,0
469,0.8,34.65199861806651,488,488,0
470,0.8,34.598732904467404,481,481,0
471,0.8,34.53322642630954,481,481,0
472,0.8,34.501055704138146,481,481,0
473,0.8,34.475466997784046,474,474,0
474,0.8,34.3430566581369,466,466,0
475,0.8,34.26069334476987,460,460,0
476,0.8,34.215898872533884,456,456,0
477,0.8,34.1458359060259,458,458,0
478,0.8,34.107320458983736,449,449,0
479,0.8,33.97904078162713,450,450,0
480,0.8,33.949211043288265,437,437,0
481,0.8,33.84319845388549,435,435,0
482,0.8,33.78505990408539,436,436,0
483,0.8,33.747458677045195,435,435,0
484,0.8,33.76265900806698,444,444,0
485,0.8,33.836440313803244,444,444,0
486,0.8,33.857665516884126,441,441,0
487,0.8,33.876384747517506,447,447,0
488,0.8,33.95183663946059,453,453,0
489,0.8,34.02609261810282,448,448,0
490,0.8,34.03683414721924,440,440,0
491,0.8,33.969683593231125,436,436,0
492,0.8,33.82643266695284,431,431,0
493,0.8,33.73223741065791,433,433,0
494,0.8,33.70406876207786,423,423,0
495,0.8,33.58526289076704,421,421,0
496,0.8,33.51116478312845,422,422,0
497,0.8,33.53605241105957,428,428,0
498,0.8,33.569160748374365,434,434,0
499,0.8,33.63140127518434,433,433,0
500,0.8,33.69527122440864,432,432,0
